Alexandra,BMSZ07,BMSZ06
Ang Mo Kio,AMSZ09,SLSZ01,AMSZ08,AMSZ06,AMSZ01,AMSZ02,AMSZ05,AMSZ04,AMSZ03
Balestier,NVSZ01
Bedok,BDSZ01,BDSZ02,BDSZ03,BDSZ04,BDSZ05,BDSZ06,BDSZ07,BDSZ08
Bencoolen,RCSZ09
Bendemmer,KLSZ01
Bishan,BSSZ01,BSSZ02,BSSZ03
Boon Lay,BLSZ04,BLSZ03,BLSZ02,BLSZ01
Bukit Batok,BKSZ03,BKSZ06,BKSZ07,BKSZ09,BKSZ08,BKSZ04,BKSZ05
Bukit Merah,BMSZ13,BMSZ12,BMSZ07,BMSZ01,BMSZ03,BMSZ02,BMSZ14,BMSZ06,BMSZ08,BMSZ01,BMSZ15,BMSZ09,BMSZ04,BMSZ11,BMSZ10,BMSZ05,BMSZ16,DTSZ09
Bukit Panjang,BPSZ01,BPSZ02,BPSZ03,BPSZ05,BPSZ04,BPSZ06,BPSZ07
Bukit Timah,BTSZ01,BTSZ02,BTSZ03,BTSZ04,BTSZ07,BTSZ06,BTSZ08,BTSZ05
Changi,CHSZ02,CHSZ01,CHSZ03
Choa Chu Kang,CKSZ04,CKSZ02,CKSZ03,CKSZ01,SKSZ01,SKSZ04,CKSZ06
Clementi,CLSZ05,CLSZ03,CLSZ01,CLSZ02,CLSZ04,CLSZ06,CLSZ08,CLSZ09,CLSZ07
Downtown Core,DTSZ01,DTSZ02,DTSZ03,DTSZ06,DTSZ12,DTSZ11,DTSZ08,DTSZ07,DTSZ09,DTSZ10,DTSZ04,DTSZ05,
East Coast,MPSZ04,
Everton Park,BMSZ16
Fort Canning,MUSZ02
Geylang,GLSZ01,GLSZ04,GLSZ02,GLSZ03,GLSZ05
Hougang,HGSZ05,HGSZ01,HGSZ06,HGSZ07,HGSZ09,HGSZ02,HGSZ04
Jurong East,JESZ09,JESZ07,JESZ04,JWSZ02,JESZ02,JESZ05,JESZ03,JESZ06,JESZ08,JESZ10
Jurong West,JWSZ07,JWSZ08,JWSZ06,JWSZ09,JWSZ02,JWSZ03,JWSZ04
Kaki Bukit,BDSZ01
Kallang,KLSZ07,KLSZ01,KLSZ02,KLSZ08,KLSZ03,KLSZ06,KLSZ04,KLSZ09,KLSZ05
Kampong Glam,RCSZ05
Katong,MPSZ02
Lim Chu Kang,LKSZ01
Mandai,MDSZ02,MDSZ03,MDSZ01
Marine Parade,MPSZ03,MPSZ01,MPSZ02,MPSZ03,MPSZ04
Newton,NTSZ01,NTSZ02,NTSZ03,NTSZ04,NTSZ05,NTSZ06
Novena,NVSZ04,NVSZ05,NVSZ03,NVSZ02,NVSZ01
Orchard,ORSZ02,ORSZ01,ORSZ03
Outram,OTSZ03,OTSZ01,OTSZ02,OTSZ04
Pasir Ris,PRSZ02,PRSZ02,PRSZ03,PRSZ04,PRSZ05,PRSZ06,PRSZ07
Paya Lebar,PLSZ03,PLSZ05,PLSZ04,PLSZ02,PLSZ01
Pioneer,PNSZ05,PNSZ02,PNSZ04,PNSZ01,PNSZ03
Punggol,PGSZ03,PGSZ04,PGSZ05,PGSZ02,PGSZ06,PGSZ01,PGSZ07
Queenstown,QTSZ13,QTSZ14,QTSZ12,QTSZ11,QTSZ10,QTSZ07,QTSZ06,ORSZ01,QTSZ05,QTSZ03,QTSZ02,QTSZ01,QTSZ09
Queensway,QTSZ07
River Valley,RVSZ01,RVSZ02,RVSZ03,RVSZ04,RVSZ05
Rochor,RCSZ10,RCSZ09,RCSZ07,RCSZ08,RCSZ01,RCSZ02,RCSZ04,RCSZ03,RCSZ05,RCSZ06
Seletar,SLSZ04
Sembawang,SBSZ08,SBSZ09,SBSZ04,SBSZ03,SBSZ02,SBSZ05,SBSZ07,SBSZ01,SBSZ06
Sengkang,SESZ07,SESZ06,SESZ04,HGSZ05,HGSZ02,SESZ03,SESZ01,SESZ02
Sentosa,SISZ01
Serangoon,SGSZ01,SGSZ03,SGSZ04,SGSZ06
Siglap,BDSZ07
Singapore River,SRSZ01,SRSZ02,SRSZ03
Sungei Kadut,SKSZ05,SKSZ04,SKSZ01,SKSZ02,SKSZ03
Tampines,TMSZ05,TMSZ04,TMSZ02,TMSZ03,TMSZ01
Tanglin,TNSZ04,TNSZ03,TNSZ01,TNSZ02
Tanjong Pagar,DTSZ09,DTSZ08,DTSZ07,DTSZ10
Telok Blangah,BMSZ13,BMSZ14,BMSZ15
Tengah,THSZ01
Tiong Bahru,BMSZ04,BMSZ10,BMSZ11
Toa Payoh,BSSZ02,TPSZ02,TPSZ03,TPSZ04,TPSZ05,TPSZ06,TPSZ07,TPSZ08,TPSZ09,TPSZ10,TPSZ10
Tuas,TSSZ06,TSSZ05,TSSZ04,PNSZ05,TSSZ02,THSZ01
Upper Thomson,BSSZ01
Woodlands,WDSZ06,WDSZ05,WDSZ01,WDSZ04,WDSZ02,WDSZ07,WDSZ03,WDSZ08,WDSZ09
Yio Chu Kang,AMSZ10
Yishun,YSSZ07,YSSZ06,YSSZ08,YSSZ09,YSSZ02,YSSZ01,YSSZ04,YSSZ03,YSSZ05
Dempsey,TNSZ03
Gardens by the Bay,MSSZ01
Holland Village,BTSZ03,QTSZ02
Jalan Kayu,SESZ06,SESZ07
Joo Chiat,MPSZ02,MPSZ03
Serangoon Gardens,SGSZ04
Simpang Bedok,BDSZ04